tree_state,joint,run_num
500000,-106902.4456,1
3000000,-106853.364,1
5500000,-106913.6032,1
8000000,-106834.4728,1
10500000,-106904.6196,1
13000000,-106845.1689,1
15500000,-106869.605,1
18000000,-106935.6327,1
20500000,-106883.0339,1
23000000,-106874.0684,1
25500000,-106853.2157,1
28000000,-106851.5223,1
30500000,-106922.5503,1
33000000,-106881.5042,1
35500000,-106898.8301,1
38000000,-106891.5262,1
40500000,-106866.3868,1
43000000,-106830.5932,1
45500000,-106883.5379,1
48000000,-106872.9423,1
50500000,-106903.0139,1
53000000,-106817.0389,1
55500000,-106897.5773,1
58000000,-106785.81,1
60500000,-106895.3928,1
63000000,-106826.7844,1
65500000,-106835.6384,1
68000000,-106862.0559,1
70500000,-106876.9415,1
73000000,-106820.3873,1
75500000,-106843.032,1
78000000,-106893.8421,1
80500000,-106832.0778,1
83000000,-106849.3063,1
85500000,-106866.0634,1
88000000,-106841.6786,1
90500000,-106848.4885,1
93000000,-106900.034,1
95500000,-106871.8395,1
98000000,-106815.847,1
100500000,-106821.5228,1
103000000,-106794.6677,1
105500000,-106888.6556,1
108000000,-106854.6806,1
110500000,-106822.2827,1
113000000,-106843.0197,1
115500000,-106896.2528,1
118000000,-106827.3961,1
120500000,-106828.908,1
123000000,-106904.9875,1
125500000,-106838.3257,1
128000000,-106873.5646,1
130500000,-106868.0371,1
133000000,-106860.5676,1
135500000,-106836.7589,1
138000000,-106819.5741,1
140500000,-106799.6215,1
143000000,-106893.0212,1
145500000,-106796.5949,1
148000000,-106802.4422,1
150500000,-106837.4644,1
153000000,-106828.3933,1
155500000,-106899.4453,1
158000000,-106867.5423,1
160500000,-106879.9787,1
163000000,-106856.6297,1
165500000,-106843.6597,1
168000000,-106804.7481,1
170500000,-106796.8313,1
173000000,-106820.6954,1
175500000,-106740.518,1
178000000,-106820.9665,1
180500000,-106806.8354,1
183000000,-106952.5734,1
185500000,-106891.1634,1
188000000,-106799.3824,1
190500000,-106871.2253,1
193000000,-106798.3443,1
195500000,-106817.3591,1
198000000,-106909.6348,1
200500000,-106843.7654,1
203000000,-106840.1415,1
205500000,-106887.4808,1
208000000,-106859.4438,1
210500000,-106828.2572,1
213000000,-106844.1824,1
215500000,-106863.5007,1
218000000,-106899.9606,1
220500000,-106859.2342,1
223000000,-106873.4139,1
225500000,-106832.9731,1
228000000,-106844.4423,1
230500000,-106817.3734,1
233000000,-106795.4178,1
235500000,-106792.7274,1
238000000,-106830.2452,1
240500000,-106783.8958,1
243000000,-106791.1213,1
245500000,-106848.2077,1
248000000,-106793.2756,1
250500000,-106856.125,1
253000000,-106824.5399,1
255500000,-106860.7417,1
258000000,-106871.7726,1
260500000,-106866.5137,1
263000000,-106833.7312,1
265500000,-106868.8396,1
268000000,-106817.2418,1
270500000,-106802.492,1
273000000,-106797.3553,1
275500000,-106823.793,1
278000000,-106782.8824,1
280500000,-106789.6155,1
283000000,-106796.8746,1
285500000,-106835.2231,1
288000000,-106801.0652,1
290500000,-106807.6014,1
293000000,-106900.8226,1
295500000,-106855.204,1
298000000,-106750.8484,1
300500000,-106814.993,1
303000000,-106766.1449,1
305500000,-106865.9029,1
308000000,-106744.3887,1
310500000,-106830.2616,1
313000000,-106830.7716,1
315500000,-106799.7278,1
318000000,-106806.9665,1
320500000,-106814.7539,1
323000000,-106808.7874,1
325500000,-106785.5033,1
328000000,-106798.7159,1
330500000,-106784.7292,1
333000000,-106825.1441,1
335500000,-106846.6023,1
338000000,-106825.7694,1
340500000,-106830.7229,1
343000000,-106731.7653,1
345500000,-106776.0999,1
348000000,-106790.9148,1
350500000,-106827.1492,1
353000000,-106814.0984,1
355500000,-106751.0414,1
358000000,-106826.736,1
360500000,-106804.7684,1
363000000,-106729.7885,1
365500000,-106849.8266,1
368000000,-106757.6302,1
370500000,-106784.916,1
373000000,-106847.007,1
375500000,-106888.7862,1
378000000,-106830.999,1
380500000,-106734.2732,1
383000000,-106769.8332,1
385500000,-106831.3335,1
388000000,-106814.4186,1
390500000,-106823.1875,1
393000000,-106815.7604,1
395500000,-106832.6182,1
398000000,-106798.8595,1
400500000,-106818.2432,1
403000000,-106774.9975,1
405500000,-106772.1366,1
408000000,-106790.1396,1
410500000,-106793.0487,1
413000000,-106798.9941,1
415500000,-106849.2012,1
418000000,-106843.853,1
420500000,-106811.9302,1
423000000,-106815.5955,1
425500000,-106805.6896,1
428000000,-106745.4988,1
430500000,-106806.9554,1
433000000,-106876.0685,1
435500000,-106823.1889,1
438000000,-106786.5036,1
